roman,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Le ventre de Paris.,0.0006169031462060457,0.189389265885256,0.010487353485502776,0.025909932140653916,0.025909932140653916,0.05181986428130783,0.07402837754472548,0.21838371375694016,0.01974090067859346,0.1067242442936459,0.047501542257865514,0.07094386181369525,0.006169031462060457,0.022208513263417645,0.019123997532387416,0.055521283158544106,0.0431832202344232,0.012338062924120914
Lourdes.,0.0,0.13664357197844496,0.10892994611239415,0.01924557351809084,0.02270977675134719,0.026558891454965358,0.09776751347190146,0.032717474980754425,0.0962278675904542,0.13010007698229406,0.054657428791377985,0.04772902232486528,0.0642802155504234,0.05196304849884527,0.029638183217859892,0.025404157043879907,0.042340261739799843,0.01308698999230177
Nana.,0.0,0.0968208092485549,0.008188824662813102,0.05009633911368015,0.022639691714836225,0.03564547206165703,0.0838150289017341,0.16522157996146436,0.04335260115606936,0.2904624277456647,0.04094412331406551,0.06791907514450866,0.007707129094412331,0.015414258188824663,0.011078998073217727,0.038053949903660886,0.01348747591522158,0.009152215799614644
Paris.,0.0,0.06031866464339909,0.15591805766312594,0.05690440060698027,0.023899848254931716,0.04742033383915023,0.03755690440060698,0.022382397572078907,0.07625189681335356,0.11077389984825493,0.041350531107739,0.045144157814871015,0.04021244309559939,0.07094081942336875,0.07283763277693475,0.028452200303490136,0.09028831562974203,0.019347496206373292
Pot-bouille.,0.0,0.03335017685699848,0.00808489135927236,0.0358767054067711,0.007579585649317837,0.05154118241536129,0.12379989893885801,0.16068721576553815,0.04901465386558868,0.2961091460333502,0.01869631126831733,0.03739262253663466,0.024759979787771603,0.020717534108135423,0.01616978271854472,0.07781707933299646,0.027791814047498736,0.010611419909044972
Rome.,0.0002849002849002849,0.18205128205128204,0.22592592592592592,0.018233618233618232,0.007122507122507123,0.03162393162393162,0.044444444444444446,0.006837606837606838,0.05555555555555555,0.05327635327635328,0.01452991452991453,0.04472934472934473,0.0339031339031339,0.1282051282051282,0.037606837606837605,0.013675213675213675,0.08518518518518518,0.01680911680911681
Son Excellence Eugene Rougon.,0.0,0.07886089813800658,0.024096385542168676,0.0065717415115005475,0.03943044906900329,0.05257393209200438,0.06078860898138007,0.06297918948521358,0.02683461117196057,0.244249726177437,0.0416210295728368,0.055312157721796276,0.022453450164293537,0.11664841182913473,0.027382256297918947,0.049835706462212484,0.0783132530120482,0.012048192771084338
Travail.,0.0006740815638692282,0.0643747893495113,0.27569935962251435,0.05055611729019211,0.017863161442534546,0.08055274688237277,0.04111897539602292,0.04819683181664981,0.08257499157398045,0.05325244354566903,0.06740815638692282,0.02494101786316144,0.02561509942703067,0.028985507246376812,0.024266936299292215,0.03707448601280755,0.044826423997303674,0.032018874283788336
Une page d amour.,0.0,0.13520933424845574,0.002745367192862045,0.05284831846259437,0.0034317089910775567,0.0068634179821551134,0.18393960192175704,0.06726149622512011,0.10775566231983527,0.2573781743308167,0.012354152367879203,0.05833905284831846,0.03912148249828414,0.011667810569663692,0.0068634179821551134,0.023335621139327384,0.004118050789293068,0.026767330130404943
Verite.,0.0003056234718826406,0.016809290953545233,0.16228606356968214,0.07487775061124695,0.011002444987775062,0.06356968215158924,0.037897310513447434,0.02169926650366748,0.0678484107579462,0.07273838630806846,0.011613691931540342,0.022004889975550123,0.03973105134474328,0.04645476772616137,0.15158924205378974,0.01986552567237164,0.16595354523227385,0.013753056234718826
