min_cluster_size,min_samples,n_components,n_neighbors,n_documents,n_assigned,n_topics,outlier_rate,coverage,silhouette_umap,dbcv,coherence_cv,topic_diversity,min_topic_size_observed,median_topic_size,max_topic_size_observed,largest_topic_share,duration_seconds,status,error,coherence_rank,silhouette_rank,diversity_rank,coverage_rank,balance_rank,dbcv_rank,score_global
80,5,5,50,5327,2076,8,0.610287216069082,0.389712783930918,0.4066795335064784,-0.0351160960787882,0.4458856359372013,0.925,90,196.0,510,0.245664739884393,8.960735541000759,ok,,0.5576923076923077,0.9038461538461539,0.17307692307692307,0.3076923076923077,0.4423076923076923,0.5192307692307693,0.5269230769230769
40,5,10,10,5327,2014,18,0.6219260371691383,0.3780739628308617,0.3825582229789588,0.0637218561624408,0.4272651162259971,0.9388888888888888,43,92.0,255,0.1266137040714995,5.178742541000247,ok,,0.2692307692307692,0.8076923076923077,0.3269230769230769,0.17307692307692307,0.8269230769230769,0.8269230769230769,0.5153846153846153
20,1,10,10,5327,3261,63,0.3878355547212314,0.6121644452787686,0.2649826393016862,0.0155704329485434,0.4324774838380318,0.9301587301587302,20,35.0,199,0.0610242256976387,6.23987337500148,ok,,0.4423076923076923,0.1346153846153846,0.25,0.9807692307692307,1.0,0.7307692307692307,0.5048076923076923
80,10,10,25,5327,1978,5,0.6286840623240098,0.3713159376759902,0.3526779456569425,0.0639263734430015,0.4323494097749856,0.98,127,320.0,988,0.4994944388270981,6.940239542000199,ok,,0.41346153846153844,0.5865384615384616,0.75,0.08653846153846154,0.028846153846153848,0.8557692307692307,0.49375
120,10,10,25,5327,1978,5,0.6286840623240098,0.3713159376759902,0.3526779456569425,0.0639263734430015,0.4323494097749856,0.98,127,320.0,988,0.4994944388270981,6.878036499998416,ok,,0.41346153846153844,0.5865384615384616,0.75,0.08653846153846154,0.028846153846153848,0.8557692307692307,0.49375
120,5,10,50,5327,2067,5,0.6119767223577999,0.3880232776422001,0.3207274213718942,-0.0403468053305663,0.448756799424152,0.98,158,229.0,1032,0.4992743105950653,9.33813045900024,ok,,0.625,0.41346153846153844,0.75,0.25961538461538464,0.0673076923076923,0.47115384615384615,0.4860576923076923
80,5,10,50,5327,2067,5,0.6119767223577999,0.3880232776422001,0.3207274213718942,-0.0403468053305663,0.448756799424152,0.98,158,229.0,1032,0.4992743105950653,9.258073124998193,ok,,0.625,0.41346153846153844,0.75,0.25961538461538464,0.0673076923076923,0.47115384615384615,0.4860576923076923
120,5,5,25,5327,2412,5,0.5472123146236155,0.4527876853763845,0.2973798016427628,-0.1489753217112267,0.4748390857288179,0.96,124,395.0,1158,0.4800995024875621,6.614905417001864,ok,,0.8846153846153846,0.3076923076923077,0.49038461538461536,0.5769230769230769,0.11538461538461539,0.07692307692307693,0.48125
40,1,5,25,5327,2768,23,0.480382954758776,0.5196170452412239,0.2805269178055052,-0.1218497708492693,0.4596271916223244,0.908695652173913,41,77.0,345,0.1246387283236994,7.108456916997966,ok,,0.7884615384615384,0.23076923076923078,0.038461538461538464,0.8076923076923077,0.8461538461538461,0.15384615384615385,0.4769230769230769
40,1,10,50,5327,2514,16,0.5280645766848132,0.4719354233151868,0.3356989940523522,-0.065128303738236,0.4476289487523861,0.91875,43,99.0,561,0.2231503579952267,9.681547999996836,ok,,0.5769230769230769,0.4807692307692308,0.09615384615384616,0.6730769230769231,0.5576923076923077,0.36538461538461536,0.46153846153846156
