roman,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Le reve.,0.08536585365853659,0.2682926829268293,0.0975609756097561,0.012195121951219513,0.04878048780487805,0.036585365853658534,0.0,0.0,0.0,0.012195121951219513,0.04878048780487805,0.024390243902439025,0.036585365853658534,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.07317073170731707,0.012195121951219513,0.0,0.08536585365853659,0.036585365853658534,0.024390243902439025,0.0
Le ventre de Paris.,0.08088235294117647,0.022058823529411766,0.058823529411764705,0.014705882352941176,0.09558823529411764,0.0,0.04411764705882353,0.014705882352941176,0.007352941176470588,0.03676470588235294,0.0,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.04411764705882353,0.058823529411764705,0.11764705882352941,0.022058823529411766,0.0661764705882353,0.014705882352941176,0.014705882352941176,0.022058823529411766,0.0,0.04411764705882353,0.022058823529411766,0.0,0.007352941176470588,0.014705882352941176,0.0
Lourdes.,0.06565656565656566,0.12626262626262627,0.06060606060606061,0.06060606060606061,0.03535353535353535,0.005050505050505051,0.015151515151515152,0.025252525252525252,0.015151515151515152,0.010101010101010102,0.06565656565656566,0.045454545454545456,0.050505050505050504,0.020202020202020204,0.0,0.03535353535353535,0.050505050505050504,0.04040404040404041,0.005050505050505051,0.015151515151515152,0.045454545454545456,0.020202020202020204,0.010101010101010102,0.015151515151515152,0.050505050505050504,0.06565656565656566,0.005050505050505051,0.04040404040404041,0.0
Nana.,0.1111111111111111,0.04,0.02666666666666667,0.0,0.1111111111111111,0.008888888888888889,0.013333333333333334,0.03111111111111111,0.0,0.09333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.02666666666666667,0.008888888888888889,0.017777777777777778,0.07111111111111111,0.057777777777777775,0.1111111111111111,0.0,0.08,0.04,0.0044444444444444444,0.03111111111111111,0.035555555555555556,0.0,0.022222222222222223,0.022222222222222223,0.008888888888888889
Paris.,0.06310679611650485,0.07766990291262135,0.04854368932038835,0.09223300970873786,0.02912621359223301,0.05339805825242718,0.05339805825242718,0.08737864077669903,0.0048543689320388345,0.014563106796116505,0.038834951456310676,0.03398058252427184,0.014563106796116505,0.0048543689320388345,0.024271844660194174,0.09223300970873786,0.03398058252427184,0.024271844660194174,0.0048543689320388345,0.02912621359223301,0.038834951456310676,0.014563106796116505,0.009708737864077669,0.014563106796116505,0.038834951456310676,0.03398058252427184,0.009708737864077669,0.0048543689320388345,0.009708737864077669
Pot-bouille.,0.1642512077294686,0.01932367149758454,0.004830917874396135,0.0,0.18840579710144928,0.01932367149758454,0.07246376811594203,0.00966183574879227,0.004830917874396135,0.05314009661835749,0.01932367149758454,0.00966183574879227,0.043478260869565216,0.024154589371980676,0.024154589371980676,0.043478260869565216,0.014492753623188406,0.04830917874396135,0.024154589371980676,0.0,0.01932367149758454,0.03864734299516908,0.0,0.07729468599033816,0.028985507246376812,0.0,0.00966183574879227,0.033816425120772944,0.004830917874396135
Rome.,0.025974025974025976,0.09523809523809523,0.14285714285714285,0.11255411255411256,0.030303030303030304,0.008658008658008658,0.008658008658008658,0.12987012987012986,0.008658008658008658,0.004329004329004329,0.03463203463203463,0.008658008658008658,0.021645021645021644,0.004329004329004329,0.012987012987012988,0.11255411255411256,0.021645021645021644,0.012987012987012988,0.008658008658008658,0.021645021645021644,0.008658008658008658,0.021645021645021644,0.004329004329004329,0.004329004329004329,0.025974025974025976,0.05194805194805195,0.008658008658008658,0.03463203463203463,0.012987012987012988
Son Excellence Eugene Rougon.,0.07853403141361257,0.015706806282722512,0.041884816753926704,0.015706806282722512,0.10471204188481675,0.005235602094240838,0.10471204188481675,0.1099476439790576,0.031413612565445025,0.06282722513089005,0.0,0.005235602094240838,0.031413612565445025,0.010471204188481676,0.010471204188481676,0.05759162303664921,0.020942408376963352,0.02617801047120419,0.0,0.005235602094240838,0.05759162303664921,0.031413612565445025,0.005235602094240838,0.05235602094240838,0.02617801047120419,0.005235602094240838,0.02617801047120419,0.04712041884816754,0.010471204188481676
Travail.,0.03365384615384615,0.08653846153846154,0.03365384615384615,0.1971153846153846,0.009615384615384616,0.03365384615384615,0.028846153846153848,0.014423076923076924,0.019230769230769232,0.04326923076923077,0.038461538461538464,0.052884615384615384,0.02403846153846154,0.009615384615384616,0.04326923076923077,0.03365384615384615,0.019230769230769232,0.019230769230769232,0.028846153846153848,0.019230769230769232,0.019230769230769232,0.04326923076923077,0.004807692307692308,0.0,0.02403846153846154,0.07692307692307693,0.004807692307692308,0.038461538461538464,0.0
Une page d amour.,0.22289156626506024,0.15060240963855423,0.07228915662650602,0.0,0.1144578313253012,0.024096385542168676,0.024096385542168676,0.0,0.0,0.012048192771084338,0.018072289156626505,0.0,0.04819277108433735,0.024096385542168676,0.0,0.0,0.018072289156626505,0.07228915662650602,0.030120481927710843,0.0,0.024096385542168676,0.012048192771084338,0.018072289156626505,0.018072289156626505,0.024096385542168676,0.0,0.030120481927710843,0.04216867469879518,0.0
